pathway	external_id	source	ensembl_ids
Valine, leucine and isoleucine biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00290	KEGG	YER086W,YMR108W,YLR355C,YCL018W,YGL009C,YHR208W,YCL009C,YCL064C,YNL104C,YOR108W,YJR148W,YJR016C
Cyanoamino acid metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00460	KEGG	YLR058C,YLR299W,YIL164C,YBR263W,YLR157C,YLR155C,YDR321W,YLR158C,YLR160C
Sulfur relay system - Saccharomyces cerevisiae (budding yeast)	path:sce04122	KEGG	YGL211W,YNL119W,YOR251C,YIL008W,YHR111W,YLR109W,YCL017C
Porphyrin and chlorophyll metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00860	KEGG	YDL120W,YDR232W,YAL039C,YDR044W,YOR176W,YER014W,YOR278W,YDL205C,YGL245W,YPL172C,YER141W,YKL087C,YBR213W,YGL040C,YDR047W,YKR069W,YOL033W
Terpenoid backbone biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00900	KEGG	YNR043W,YMR274C,YJL167W,YMR220W,YJR117W,YLR450W,YBR002C,YML126C,YDL193W,YMR101C,YMR208W,YDR410C,YBR003W,YPL069C,YML075C,YPL028W,YDL090C,YKL019W,YPL117C
One carbon pool by folate - Saccharomyces cerevisiae (budding yeast)	path:sce00670	KEGG	YLR058C,YOR074C,YBR263W,YBR084W,YDR408C,YGL125W,YGR204W,YLR028C,YOR236W,YPL023C,YER183C,YKR080W,YBL013W,YMR120C,YDR019C
ABC transporters - Saccharomyces cerevisiae (budding yeast)	path:sce02010	KEGG	YIL013C,YKL188C,YOR011W,YKL209C,YGR281W,YPL058C,YLL015W,YCR011C,YNR070W,YDR135C,YDR406W,YDR011W,YPL270W,YOR328W,YMR301C,YLR188W,YOR153W,YPL147W
Sesquiterpenoid and triterpenoid biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00909	KEGG	YHR190W,YGR175C
Pantothenate and CoA biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00770	KEGG	YMR169C,YHR208W,YKL088W,YMR020W,YJR148W,YJR016C,YHR063C,YGR277C,YMR108W,YDR196C,YIL083C,YPL148C,YGL154C,YDR531W,YMR110C,YCL009C,YMR170C,YBR176W,YER073W,YIL145C,YOR374W,YLR355C,YPL061W
Meiosis - yeast - Saccharomyces cerevisiae (budding yeast)	path:sce04113	KEGG	YLR079W,YJL030W,YCR096C,YLR081W,YHR166C,YFL011W,YHR124W,YHL022C,YMR139W,YDR523C,YBR160W,YNL318C,YPL179W,YHR092C,YLR103C,YGL201C,YGR108W,YAL040C,YAL016W,YDR439W,YML065W,YCR097W,YIL026C,YGR109C,YBR136W,YJL219W,YKL203C,YJR158W,YFR036W,YDL138W,YLR102C,YER179W,YDL008W,YPR162C,YEL069C,YJL214W,YER133W,YOR313C,YDR477W,YER020W,YDR285W,YGR044C,YLR127C,YOL156W,YJL187C,YAR019C,YBR274W,YMR011W,YJR094C,YBR202W,YCL067C,YDL188C,YIR025W,YGL240W,YGR098C,YPR120C,YER173W,YBL084C,YDR052C,YGR225W,YJL074C,YML016C,YDL245C,YDL017W,YDR113C,YHR184W,YPL256C,YGR188C,YBR045C,YBR060C,YLR263W,YDR118W,YOR195W,YOR368W,YJL005W,YER111C,YIL072W,YFL008W,YDR207C,YHR096C,YDR217C,YNL172W,YPR019W,YOR101W,YHR152W,YDR436W,YGR059W,YDL035C,YGL116W,YFR028C,YNR072W,YGL086W,YOR351C,YEL032W,YBL023C,YLR288C,YCR039C,YDL134C,YPL153C,YJL106W,YLR182W,YDR343C,YER106W,YLR274W,YDR345C,YOR249C,YKL062W,YPL203W,YDL194W,YDL155W,YHR118C,YJR066W,YHR094C,YJL164C,YLL004W,YMR001C,YDR342C,YKL166C,YDR260C,YJL194W,YKL022C,YJR046W,YLR210W,YOR014W,YMR037C,YDR310C,YNL098C,YPL194W,YOR073W,YPR007C,YMR016C,YNL261W,YFL033C
Fatty acid elongation - Saccharomyces cerevisiae (budding yeast)	path:sce00062	KEGG	YDL015C,YLR372W,YBR026C,YJL097W,YCR034W,YJL196C,YJR019C,YBR159W
Fatty acid biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00061	KEGG	YMR246W,YER061C,YOR317W,YKL182W,YHR067W,YBR026C,YNR016C,YMR207C,YKL055C,YIL009W,YOR221C,YER015W,YPL231W
Steroid biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00100	KEGG	YGR060W,YHR190W,YKL140W,YNL280C,YMR015C,YGL012W,YOR081C,YHR007C,YNR019W,YMR202W,YKR089C,YML008C,YCR048W,YLR056W,YGR175C,YHR072W,YLR100W,YGL001C
Biosynthesis of unsaturated fatty acids - Saccharomyces cerevisiae (budding yeast)	path:sce01040	KEGG	YDL015C,YJR019C,YGL055W,YLR372W,YJL097W,YGL205W,YCR034W,YIL160C,YJL196C,YBR159W
Monobactam biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00261	KEGG	YJR010W,YDR158W,YER052C
Glycine, serine and threonine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00260	KEGG	YAL012W,YHR025W,YMR226C,YER026C,YIL074C,YCL064C,YOL056W,YGL026C,YFL030W,YER086W,YGR155W,YEL046C,YDR158W,YJR139C,YMR189W,YKL152C,YDL021W,YER052C,YOR184W,YGR205W,YGR208W,YAL044C,YFL018C,YGL196W,YLR058C,YDR232W,YBR263W,YER081W,YDR019C,YCR053W
Protein export - Saccharomyces cerevisiae (budding yeast)	path:sce03060	KEGG	YMR150C,YDR086C,YDL092W,YPR088C,YJL034W,YER019C-A,YJR010C-A,YKL154W,YPL094C,YML105C,YPL210C,YOR254C,YIR022W,YMR035W,YER154W,YLR378C,YER087C-B,YLR066W,YBR283C,YML055W,YDR292C,YPL243W
Aminoacyl-tRNA biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00970	KEGG	YOR335C,YHR011W,YBL076C,YPL040C,YDR341C,YOL097C,YNL073W,YGR185C,YHR019C,YLL018C,YDR037W,YDR023W,YPR033C,YKL194C,YFL022C,YNL247W,YBR121C,YIL078W,YGR102C,YLR382C,YPL104W,YOR168W,YBL080C,YCR024C,YGR171C,YHR020W,YGR094W,YPR081C,YOL033W,YLR060W,YPL160W,YER087W,YPL097W,YDR268W,YPR047W,YGL245W,YGR264C,YHR091C,YBL013W,YMR293C
Propanoate metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00640	KEGG	YMR207C,YAL054C,YLR153C,YNR016C,YOR142W,YGR244C,YGL205W,YOL151W,YGR019W,YKR009C,YPR002W,YDR036C,YFL018C
Glutathione metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00480	KEGG	YKL215C,YIL066C,YLR299W,YPR069C,YJL101C,YNL229C,YFR044C,YJL026W,YHR183W,YNL009W,YOL049W,YKL184W,YGR256W,YNL241C,YDL066W,YER163C,YGR180C,YBL064C,YPL091W,YIR038C,YLR146C,YER070W,YLR174W
Nicotinate and nicotinamide metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00760	KEGG	YOR155C,YDR191W,YDR400W,YLR209C,YGL037C,YOR209C,YHR074W,YGL067W,YGR010W,YJR049C,YPL015C,YFR047C,YCL047C,YOR025W,YGL224C,YNL129W,YLR328W,YOL068C,YDL042C,YBR006W
Fatty acid degradation - Saccharomyces cerevisiae (budding yeast)	path:sce00071	KEGG	YOR374W,YMR246W,YDL168W,YMR110C,YMR169C,YIL160C,YBR145W,YER015W,YOR317W,YGL205W,YOL086C,YMR170C,YMR083W,YIL009W,YPL028W,YPL061W,YER073W,YMR303C,YLR284C,YGL256W
Phenylalanine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00360	KEGG	YKL106W,YDR380W,YPR193C,YEL066W,YIL116W,YGL202W,YLR027C,YHR137W,YDR242W
Phenylalanine, tyrosine and tryptophan biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00400	KEGG	YKL106W,YDR035W,YLR027C,YNL316C,YDR007W,YPR060C,YGL026C,YDR354W,YBR166C,YGL148W,YBR249C,YIL116W,YGL202W,YER090W,YHR137W,YDR127W,YKL211C
Cysteine and methionine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00270	KEGG	YAL012W,YCL064C,YOR251C,YKL106W,YPR118W,YLL058W,YIL074C,YPR069C,YLR303W,YER043C,YGL184C,YLR017W,YJR148W,YPL273W,YGR155W,YKL069W,YOL049W,YDR158W,YDL078C,YER081W,YJR139C,YHR208W,YOL126C,YLR146C,YJR024C,YFR055W,YER052C,YOR184W,YDR502C,YMR009W,YJR130C,YEL038W,YJL101C,YER091C,YLR027C,YGR012W,YML082W,YLL062C,YOL052C,YLR180W,YGL202W,YKL085W,YNL277W
D-Amino acid metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00470	KEGG	YGL196W,YEL066W,YPR193C
Glycerophospholipid metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00564	KEGG	YOR175C,YHR100C,YMR006C,YCL004W,YOR311C,YMR165C,YER026C,YKR089C,YGR202C,YMR008C,YGR170W,YJR073C,YDR503C,YOL011W,YNL130C,YGR110W,YGR157W,YOR081C,YKR031C,YPR139C,YGR007W,YKR067W,YDR147W,YDL052C,YML059C,YIL124W,YOL059W,YIL155C,YDL142C,YLR133W,YHR123W,YBL011W,YBR029C,YDR284C,YPL206C,YNL169C,YPL110C,YDL022W,YPR113W,YPR140W
Ether lipid metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00565	KEGG	YOR175C,YNL130C,YOR269W,YIL124W,YOR081C,YKR089C,YKR031C,YHR123W
Inositol phosphate metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00562	KEGG	YHR046C,YJL100W,YNL267W,YNL325C,YDR287W,YPL268W,YLR240W,YDR315C,YOR109W,YJR110W,YIL002C,YKL212W,YNL128W,YJL153C,YDR050C,YFR019W,YPR113W,YDR208W,YDR173C,YLR305C,YNL106C
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00563	KEGG	YNL038W,YPL076W,YJL132W,YFL025C,YCL052C,YKL165C,YGR216C,YPL096C-A,YLR459W,YDR182W,YBR004C,YDR434W,YOR149C,YGL142C,YDR331W,YJR013W,YLL031C,YHR188C,YMR281W,YJL062W,YDR302W,YLR088W,YJL091C,YDR437W,YPL175W
Glycerolipid metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00561	KEGG	YOR175C,YER037W,YMR318C,YMR169C,YMR165C,YHL032C,YML070W,YMR110C,YCR105W,YKL094W,YDR503C,YOR081C,YCR068W,YER073W,YPR139C,YKR067W,YDL052C,YGR205W,YMR170C,YFL053W,YER062C,YDR284C,YOR374W,YBL011W,YMR313C,YKR089C,YOR120W,YDR058C,YNR008W,YOR245C,YPL061W,YIL053W
Ribosome - Saccharomyces cerevisiae (budding yeast)	path:sce03010	KEGG	YJR113C,YDR041W,YDR405W,YDR025W,YLR333C,YKR057W,YGR148C,YER131W,YPL249C-A,YDL184C,YLR388W,YHL015W,YPL220W,YKL006W,YPR102C,YLR048W,YCR046C,YGL123W,YJL191W,YLR340W,YFL034C-A,YNL302C,YBL027W,YNL096C,YNL284C,YDR115W,YHL033C,YDL081C,YHR147C,YIL148W,YPL079W,YJL136C,YOR096W,YNL178W,YLR009W,YDR450W,YOR293W,YDR418W,YCR003W,YOL127W,YIL018W,YDL075W,YBR084C-A,YDL061C,YMR142C,YGL031C,YER102W,YPR043W,YLR325C,YNL081C,YMR286W,YGL068W,YKL156W,YDR447C,YGR118W,YJL063C,YGR214W,YGL135W,YOR234C,YOL120C,YOR312C,YML024W,YMR143W,YDL191W,YDR064W,YDL202W,YHL001W,YLR287C-A,YDR337W,YJR123W,YPL183W-A,YJL190C,YIL069C,YFR031C-A,YGL147C,YJL189W,YNL002C,YOL121C,YGL076C,YMR193W,YMR242C,YPR132W,YDL136W,YBR191W,YPR166C,YBR251W,YNL301C,YCR031C,YBL087C,YLR029C,YDR471W,YOL040C,YLR441C,YKR094C,YIL133C,YOL039W,YLR367W,YLR344W,YBR146W,YPL173W,YGR220C,YLR264W,YIL052C,YNL067W,YDR382W,YPL090C,YML073C,YLR061W,YGL030W,YOR150W,YER074W,YNL069C,YOR182C,YER050C,YHR141C,YDR500C,YOR369C,YHR203C,YMR121C,YPL143W,YDL130W,YDR012W,YKL003C,YHR021C,YDL082W,YPL131W,YJL177W,YLR185W,YMR230W,YMR194W,YGR034W,YDL133C-A,YBR189W,YPL081W,YGR085C,YER117W,YOR063W,YDR116C,YNL306W,YLR075W,YPL198W,YBR048W,YNL162W,YLR406C,YJR145C,YML026C,YGR027C,YGL189C,YFR032C-A,YKL180W,YHR010W,YEL054C,YGL103W,YNL185C,YER056C-A,YBL092W,YML063W,YDL083C,YDR237W,YJL096W,YBL072C,YJR094W-A,YBR031W,YLR448W,YHL004W,YLL045C,YBR181C,YMR188C,YNR036C,YOR167C,YML025C,YPL013C,YLR167W,YML009C
Butanoate metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00650	KEGG	YMR108W,YAL060W,YAL061W,YML126C,YCL009C,YGR019W,YPL028W,YMR250W,YBR006W
Base excision repair - Saccharomyces cerevisiae (budding yeast)	path:sce03410	KEGG	YAL015C,YBR278W,YNL262W,YJL065C,YJR006W,YPR175W,YBL019W,YER142C,YML060W,YKL113C,YDL102W,YJR043C,YDR121W,YDL164C,YOL043C,YML021C,YBR088C,YKL114C
Phosphatidylinositol signaling system - Saccharomyces cerevisiae (budding yeast)	path:sce04070	KEGG	YLR410W,YDR287W,YLR240W,YBL105C,YJR110W,YHR046C,YOR109W,YDR208W,YFR019W,YLR305C,YBR109C,YJL100W,YPL268W,YIL002C,YKL212W,YDR173C,YDR017C,YBR029C,YDR315C,YNL128W,YNL267W,YPR113W,YNL106C
Atrazine degradation - Saccharomyces cerevisiae (budding yeast)	path:sce00791	KEGG	YFL061W,YNL335W,YBR208C
Starch and sucrose metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00500	KEGG	YMR278W,YGL253W,YFR015C,YCL040W,YDR001C,YHL012W,YIL172C,YKL035W,YKL127W,YLR342W,YDR261C,YGR032W,YPR184W,YEL011W,YBR196C,YLR446W,YIL099W,YMR306W,YLR258W,YJL137C,YOL157C,YGR287C,YMR261C,YFR053C,YOR190W,YIL162W,YJL216C,YDR074W,YMR105C,YBR001C,YDR516C,YPR026W,YLR300W,YGR292W,YBR299W,YPR160W,YJL221C,YBR126C,YKR058W,YML100W,YGR282C
beta-Alanine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00410	KEGG	YOR374W,YMR110C,YMR169C,YGL205W,YMR170C,YMR020W,YGR019W,YPL061W,YKR009C,YER073W,YMR250W,YDR036C,YIL145C
Pyrimidine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00240	KEGG	YIL066C,YOR074C,YMR226C,YEL021W,YJR109C,YJR057W,YLR420W,YJL026W,YHR144C,YOR303W,YKL067W,YGR180C,YMR271C,YHR128W,YPR062W,YDR400W,YER005W,YBR252W,YKL216W,YKL024C,YJL130C,YJR103W,YLR209C,YLR245C,YDR020C,YNR012W,YBL039C,YER070W,YML106W
Lysine degradation - Saccharomyces cerevisiae (budding yeast)	path:sce00310	KEGG	YOR374W,YHR109W,YMR110C,YMR169C,YDR440W,YPL028W,YHR119W,YMR170C,YNR050C,YFL018C,YIR034C,YPL061W,YER073W,YDR148C,YJL168C,YBR006W
Hippo signaling pathway - multiple species - Saccharomyces cerevisiae (budding yeast)	path:sce04392	KEGG	YHR135C,YNL154C,YGR092W,YIL106W,YHL007C,YOR373W,YBR083W,YAR019C
Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00620	KEGG	YAL038W,YMR318C,YMR169C,YMR207C,YOR108W,YOL151W,YCR105W,YPL028W,YDL182W,YOL126C,YIR031C,YOR040W,YOR391C,YER073W,YDR272W,YDL131W,YDL174C,YMR083W,YDL078C,YER178W,YFL018C,YBR221C,YML054C,YNL071W,YEL071W,YMR110C,YAL054C,YOR347C,YPL280W,YMR170C,YGL062W,YDR533C,YNL117W,YMR303C,YMR322C,YML004C,YOR374W,YDL178W,YPL262W,YBR145W,YNR016C,YLR153C,YBL015W,YOL086C,YNL104C,YKR097W,YGL256W,YBR218C,YDL168W,YKL085W,YPL061W,YKL029C
Tryptophan metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00380	KEGG	YOR374W,YGR088W,YMR110C,YJR025C,YJL060W,YIL164C,YDR428C,YBL098W,YLR231C,YMR170C,YPL061W,YMR169C,YFL018C,YJR078W,YPL028W,YGL202W,YER073W,YDR242W,YDR148C,YDR256C
Alanine, aspartate and glutamate metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00250	KEGG	YKL106W,YHR037W,YAL062W,YJL130C,YKL104C,YDL171C,YLR359W,YOL058W,YMR250W,YLR158C,YFL030W,YMR300C,YOR303W,YPR035W,YLR089C,YPR145W,YOR375C,YDR321W,YLR160C,YBR006W,YGR019W,YDL215C,YLR027C,YDR111C,YLR351C,YHR018C,YGR124W,YLR157C,YMR084W,YNL220W,YLR155C,YJR109C
Biotin metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00780	KEGG	YNR057C,YER061C,YGR286C,YKL055C,YNR058W,YDL141W
Non-homologous end-joining - Saccharomyces cerevisiae (budding yeast)	path:sce03450	KEGG	YDR369C,YNL250W,YGL090W,YMR284W,YCR014C,YMR224C,YKL113C,YLR265C,YMR106C,YOR005C
Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)	path:sce00010	KEGG	YMR278W,YMR099C,YMR318C,YGL253W,YAL038W,YJL052W,YKL060C,YOR393W,YCL040W,YMR205C,YGR087C,YCR105W,YPL281C,YCR012W,YOL056W,YDL080C,YKL127W,YGR254W,YMR169C,YLR044C,YLR377C,YBR196C,YGR240C,YMR083W,YJR009C,YER178W,YBR221C,YNL071W,YKL152C,YDL021W,YHR174W,YMR110C,YAL054C,YLR446W,YOR347C,YMR170C,YPL061W,YGR192C,YMR323W,YFR053C,YDR050C,YMR303C,YER073W,YFL018C,YOR374W,YMR105C,YDR516C,YBR145W,YLR134W,YLR153C,YOL086C,YKR097W,YGL256W,YDL168W,YBR019C
Lipoic acid metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00785	KEGG	YJL046W,YOR196C,YLR239C
Lysine biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00300	KEGG	YJL200C,YIL094C,YDR158W,YDL131W,YER052C,YBR115C,YDL182W,YNR050C,YJR139C,YIR034C,YGL202W,YDR234W
Proteasome - Saccharomyces cerevisiae (budding yeast)	path:sce03050	KEGG	YPR108W,YDL147W,YHR027C,YFL007W,YFR050C,YIL075C,YIL007C,YGR135W,YOR261C,YER012W,YJL001W,YFR052W,YHR200W,YOR117W,YDR363W-A,YKL145W,YER094C,YMR314W,YOR259C,YDR394W,YBL041W,YLR421C,YOR157C,YPR103W,YER021W,YDL007W,YFR004W,YGL011C,YDL097C,YOL038W,YGL048C,YGR253C,YML092C,YDR427W,YOR362C,YBR173C
DNA replication - Saccharomyces cerevisiae (budding yeast)	path:sce03030	KEGG	YMR234W,YLR274W,YJR006W,YIR008C,YDR121W,YBL035C,YBL023C,YBR278W,YNL262W,YNL290W,YBR202W,YDL102W,YJR043C,YGL201C,YPR019W,YEL032W,YBR087W,YJL065C,YKL113C,YOR217W,YKL045W,YDL164C,YNL312W,YJR068W,YNL072W,YHR164C,YOL094C,YBR088C,YPR175W,YAR007C,YNL102W
Thiamine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00730	KEGG	YAR071W,YOR143C,YPL258C,YFL058W,YHR215W,YJR156C,YBR092C,YPR073C,YDR481C,YPL214C,YDR226W,YDL244W,YBR093C,YGR144W,YDL024C,YCL017C,YOL055C,YER170W,YNL332W
Glyoxylate and dicarboxylate metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00630	KEGG	YLR153C,YDR428C,YCR005C,YPL028W,YIR031C,YFL030W,YNL117W,YGR088W,YPR035W,YER065C,YPR006C,YDL078C,YNL274C,YMR189W,YOL126C,YNR001C,YDR019C,YAL054C,YGR205W,YLR304C,YAL044C,YOR388C,YFL018C,YLR058C,YBR263W,YPR001W,YDR256C,YKL085W,YBR222C
Taurine and hypotaurine metabolism - Saccharomyces cerevisiae (budding yeast)	path:sce00430	KEGG	YMR250W,YDL215C,YLR299W
Arginine biosynthesis - Saccharomyces cerevisiae (budding yeast)	path:sce00220	KEGG	YKL106W,YJL071W,YMR062C,YPR035W,YAL062W,YLR027C,YDR111C,YBR208C,YLR089C,YOL058W,YOR375C,YPL111W,YER069W,YHR018C,YJL088W,YDL215C,YOL140W
MAPK signaling pathway - yeast - Saccharomyces cerevisiae (budding yeast)	path:sce04011	KEGG	YLR079W,YBR279W,YGR070W,YER125W,YNR031C,YAL041W,YPL115C,YBR200W,YDR490C,YBR160W,YNL053W,YDR461W,YMR306W,YGR108W,YLR113W,YLR229C,YLR425W,YLR006C,YGR109C,YOR127W,YOL100W,YPR165W,YCR084C,YER155C,YLR362W,YPL187W,YOL113W,YGR014W,YNL283C,YPL049C,YDL159W,YDR144C,YOL105C,YDL006W,YDR379W,YER075C,YJL187C,YIL159W,YBR182C,YLR371W,YFL026W,YOR008C,YHL007C,YBR133C,YPR120C,YLR332W,YHR030C,YCR073C,YMR172W,YMR043W,YIL147C,YOL059W,YMR164C,YIR019C,YOL151W,YDR480W,YOR212W,YPL256C,YNL271C,YNL145W,YKL161C,YDR103W,YNL167C,YIL113W,YGR023W,YBL105C,YER111C,YDR208W,YPL140C,YKL178C,YGR088W,YDL022W,YNL298W,YDR420W,YDR256C,YHR135C,YDR466W,YMR199W,YPR119W,YBR112C,YDR099W,YBR083W,YCL027W,YPR075C,YCL032W,YLR182W,YHR084W,YGL089C,YKL062W,YMR036C,YLR305C,YPL089C,YHR005C,YBL016W,YER118C,YGR032W,YNL154C,YLR342W,YGR040W,YJR086W,YKL101W,YJL128C,YLL021W,YLR452C,YER177W,YDL235C,YIL015W,YLR120C,YMR037C,YOR231W,YJL095W,YOR208W,YJL157C,YDR389W
Homologous recombination - Saccharomyces cerevisiae (budding yeast)	path:sce03440	KEGG	YBR098W,YLR234W,YDR076W,YDR369C,YNL250W,YJR006W,YJR043C,YDR004W,YMR224C,YER095W,YMR190C,YNL312W,YDL102W,YDL059C,YBR073W,YDR363W-A,YGL163C,YML032C,YAR007C,YDR386W,YBL088C
Citrate cycle (TCA cycle) - Saccharomyces cerevisiae (budding yeast)	path:sce00020	KEGG	YIL125W,YKL148C,YDR178W,YCR005C,YOR142W,YDR148C,YKL141W,YOR136W,YNL009W,YGR244C,YDL078C,YER178W,YMR118C,YBR221C,YOL126C,YNR001C,YNL071W,YDL066W,YJL045W,YLR304C,YFL018C,YKL085W,YPR001W,YKR097W,YLR164W,YBR218C,YGL062W,YNL037C,YPL262W,YLL041C,YLR174W
SNARE interactions in vesicular transport - Saccharomyces cerevisiae (budding yeast)	path:sce04130	KEGG	YOR327C,YGL098W,YPL232W,YLR268W,YDR498C,YLR026C,YKL196C,YAL030W,YIL004C,YGL212W,YOL018C,YMR183C,YAL014C,YLR078C,YHL031C,YDR468C,YOR075W,YOR106W,YKL006C-A,YMR197C
